10.2307/j100005,10.2307/j100614,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100008,10.2307/j100603,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100009,10.2307/j100972,Publication A and Publication B are merged to form Journal C. Both A and B cease to exist after the merge.
10.2307/j100009,10.2307/j100984,Publication A and Publication B are merged to form Journal C. Both A and B cease to exist after the merge.
10.2307/j100011,10.2307/j100809,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100012,10.2307/j101361,Publication A and Publication B are merged to form Journal C. Both A and B cease to exist after the merge.
10.2307/j100012,10.2307/j101362,Publication A and Publication B are merged to form Journal C. Both A and B cease to exist after the merge.
10.2307/j100013,10.2307/j101034,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100019,10.2307/j100716,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100020,10.2307/j100072,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100022,10.2307/j100451,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100025,10.2307/j100597,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100028,10.2307/j100999,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100034,10.2307/j100960,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100035,10.2307/j100995,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100040,10.2307/j100977,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100042,10.2307/j100696,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100046,10.2307/j100689,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100049,10.2307/j100718,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100053,10.2307/j100770,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100057,10.2307/j100889,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100058,10.2307/j100996,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100072,10.2307/j100878,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100073,10.2307/j101003,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100079,10.2307/j100624,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100086,10.2307/j100749,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100087,10.2307/j100785,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100088,10.2307/j101037,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100089,10.2307/j100767,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100091,10.2307/j100616,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100093,10.2307/j101002,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100095,10.2307/j100677,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100101,10.2307/j100512,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100103,10.2307/j100506,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100105,10.2307/j100967,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100112,10.2307/j100030,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100113,10.2307/j100885,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100115,10.2307/j100712,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100116,10.2307/j100653,Publication A splits into (two or more) Publication B and publication C. Publication A ceases to exist.
10.2307/j100117,10.2307/j100653,Publication A splits into (two or more) Publication B and publication C. Publication A ceases to exist.
10.2307/j100121,10.2307/j101019,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100133,10.2307/j101022,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100134,10.2307/j100526,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100135,10.2307/j100617,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100136,10.2307/j101023,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100149,10.2307/j101005,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100153,10.2307/j100965,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100157,10.2307/j100778,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100159,10.2307/j101016,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100160,10.2307/j101046,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100161,10.2307/j101041,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100162,10.2307/j101375,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100165,10.2307/j100568,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100175,10.2307/j100940,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100177,10.2307/j100555,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100180,10.2307/j101052,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100184,10.2307/j100943,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100185,10.2307/j100939,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100186,10.2307/j100948,Publication A and Publication B are merged to form Journal C. Both A and B cease to exist after the merge.
10.2307/j100186,10.2307/j100949,Publication A and Publication B are merged to form Journal C. Both A and B cease to exist after the merge.
10.2307/j100193,10.2307/j100669,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100204,10.2307/j100543,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100207,10.2307/j100681,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100208,10.2307/j100888,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100211,10.2307/j100747,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100212,10.2307/j100503,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100213,10.2307/j100724,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100215,10.2307/j100769,A publication (A) ceases and a new one (B) starts as a continuation of the first one
10.2307/j100219,10.2307/j100685,A publication (A) ceases and a new one (B) starts as a continuation of the first one
